command	category	subcommands	mutates_state	phase_gate	unique_exit_contract	user_facing	agent_facing	doc_status
init	lifecycle	-	true	false	true	true	true	documented
doctor	inspection	-	false	false	true	true	false	documented
migrate	lifecycle	config	true	false	true	true	false	undocumented
fusion	inspection	bootstrap|policy	false	false	true	false	true	undocumented
new	lifecycle	-	true	false	true	true	true	documented
approve	lifecycle	-	true	true	true	true	true	documented
decision	lifecycle	-	true	true	false	true	true	documented
midreq	lifecycle	-	true	true	false	true	true	documented
memory	lifecycle	add|promote	true	true	false	true	true	documented
next	execution	-	false	true	false	true	true	documented
dispatch	execution	-	false	true	false	false	true	documented
verify	execution	criterion-proof	true	true	true	true	true	documented
task	execution	-	true	true	true	true	true	documented
status	inspection	-	false	false	false	true	true	documented
mode	inspection	set|recommend	true	true	true	true	true	documented
check	inspection	-	false	true	true	true	true	documented
context	inspection	-	false	true	false	true	true	documented
validate	inspection	schema	false	true	true	true	true	documented
schema	inspection	-	false	false	true	false	true	documented
report	inspection	-	false	true	false	true	true	documented
serve	inspection	-	false	true	false	true	false	documented
replay	inspection	-	false	true	false	true	true	documented
diff	inspection	-	false	true	true	true	true	documented
watch	inspection	once|sse|webhook	false	false	false	false	true	documented
waves	inspection	-	false	true	false	true	true	documented
brain	orchestration	start|run|status|step|why|directive|pause|resume|cancel|compact|clear|ledger	true	true	true	false	true	documented
pinky	orchestration	claim|brief|heartbeat|progress|query|report|block|release|inbox	true	true	true	false	true	documented
program	inspection	status|link|unlink	true	true	false	false	true	documented
update	meta	-	true	false	true	true	false	documented
uninstall	meta	-	true	false	true	true	false	documented
version	meta	-	false	false	false	true	true	documented
mcp	meta	config|server	false	false	true	false	true	documented
help	meta	command	false	false	true	true	true	documented
